,name,food_interactions,drug_index,cleaned_text,interaction,interaction_count
2862,Pramlintide,['Avoid alcohol. Ingesting alcohol may increase the risk of hypoglycemia.'],704,'Avoid alcohol. Ingesting alcohol may increase the risk of hypoglycemia.','Avoid alcohol,0
2863,Pramlintide,['Avoid alcohol. Ingesting alcohol may increase the risk of hypoglycemia.'],704,'Avoid alcohol. Ingesting alcohol may increase the risk of hypoglycemia.',Ingesting alcohol may increase the risk of hypoglycemia,0
2865,Lumiracoxib,['Take with or without food. The absorption is unaffected by food.'],705,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
2866,Lumiracoxib,['Take with or without food. The absorption is unaffected by food.'],705,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
2868,Fenoterol,['Take with or without food. The absorption is unaffected by food.'],706,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
2869,Fenoterol,['Take with or without food. The absorption is unaffected by food.'],706,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
2871,Practolol,"['Avoid alcohol.', 'Avoid natural licorice.']",707,"'Avoid alcohol.', 'Avoid natural licorice.'",'Avoid alcohol,0
2872,Practolol,"['Avoid alcohol.', 'Avoid natural licorice.']",707,"'Avoid alcohol.', 'Avoid natural licorice.'","', 'Avoid natural licorice",0
2874,Sulfadoxine,"['Take after a meal. Taking sulfadoxine with food, may reduce gastrointestinal irritation.', 'Take with a full glass of water.']",708,"'Take after a meal. Taking sulfadoxine with food, may reduce gastrointestinal irritation.', 'Take with a full glass of water.'",'Take after a meal,0
2875,Sulfadoxine,"['Take after a meal. Taking sulfadoxine with food, may reduce gastrointestinal irritation.', 'Take with a full glass of water.']",708,"'Take after a meal. Taking sulfadoxine with food, may reduce gastrointestinal irritation.', 'Take with a full glass of water.'","Taking sulfadoxine with food, may reduce gastrointestinal irritation",0
2876,Sulfadoxine,"['Take after a meal. Taking sulfadoxine with food, may reduce gastrointestinal irritation.', 'Take with a full glass of water.']",708,"'Take after a meal. Taking sulfadoxine with food, may reduce gastrointestinal irritation.', 'Take with a full glass of water.'","', 'Take with a full glass of water",0
2878,Rolitetracycline,['Avoid milk and dairy products. Dairy products contain cations such as calcium which may interfere with the absorption of rolitetracycline.'],709,'Avoid milk and dairy products. Dairy products contain cations such as calcium which may interfere with the absorption of rolitetracycline.','Avoid milk and dairy products,0
2879,Rolitetracycline,['Avoid milk and dairy products. Dairy products contain cations such as calcium which may interfere with the absorption of rolitetracycline.'],709,'Avoid milk and dairy products. Dairy products contain cations such as calcium which may interfere with the absorption of rolitetracycline.',Dairy products contain cations such as calcium which may interfere with the absorption of rolitetracycline,0
2881,Oxtriphylline,"['Limit caffeine intake.', 'Take with food. Food reduces irritation.']",710,"'Limit caffeine intake.', 'Take with food. Food reduces irritation.'",'Limit caffeine intake,0
2882,Oxtriphylline,"['Limit caffeine intake.', 'Take with food. Food reduces irritation.']",710,"'Limit caffeine intake.', 'Take with food. Food reduces irritation.'","', 'Take with food",0
2883,Oxtriphylline,"['Limit caffeine intake.', 'Take with food. Food reduces irritation.']",710,"'Limit caffeine intake.', 'Take with food. Food reduces irritation.'",Food reduces irritation,0
2885,Insulin aspart,['Take with food. Dose adjust as needed. Changes in meal composition may alter the response to insulin aspart.'],711,'Take with food. Dose adjust as needed. Changes in meal composition may alter the response to insulin aspart.','Take with food,0
2886,Insulin aspart,['Take with food. Dose adjust as needed. Changes in meal composition may alter the response to insulin aspart.'],711,'Take with food. Dose adjust as needed. Changes in meal composition may alter the response to insulin aspart.',Dose adjust as needed,0
2887,Insulin aspart,['Take with food. Dose adjust as needed. Changes in meal composition may alter the response to insulin aspart.'],711,'Take with food. Dose adjust as needed. Changes in meal composition may alter the response to insulin aspart.',Changes in meal composition may alter the response to insulin aspart,0
2889,Insulin detemir,"['Avoid alcohol. Alcohol may impair blood glucose control.', 'Take with food. Once daily administration should be given with the evening meal or prior to bedtime.']",712,"'Avoid alcohol. Alcohol may impair blood glucose control.', 'Take with food. Once daily administration should be given with the evening meal or prior to bedtime.'",'Avoid alcohol,0
2890,Insulin detemir,"['Avoid alcohol. Alcohol may impair blood glucose control.', 'Take with food. Once daily administration should be given with the evening meal or prior to bedtime.']",712,"'Avoid alcohol. Alcohol may impair blood glucose control.', 'Take with food. Once daily administration should be given with the evening meal or prior to bedtime.'",Alcohol may impair blood glucose control,0
2891,Insulin detemir,"['Avoid alcohol. Alcohol may impair blood glucose control.', 'Take with food. Once daily administration should be given with the evening meal or prior to bedtime.']",712,"'Avoid alcohol. Alcohol may impair blood glucose control.', 'Take with food. Once daily administration should be given with the evening meal or prior to bedtime.'","', 'Take with food",0
2892,Insulin detemir,"['Avoid alcohol. Alcohol may impair blood glucose control.', 'Take with food. Once daily administration should be given with the evening meal or prior to bedtime.']",712,"'Avoid alcohol. Alcohol may impair blood glucose control.', 'Take with food. Once daily administration should be given with the evening meal or prior to bedtime.'",Once daily administration should be given with the evening meal or prior to bedtime,0
2894,Insulin glulisine,['Avoid alcohol. Alcohol may impair blood glucose control.'],713,'Avoid alcohol. Alcohol may impair blood glucose control.','Avoid alcohol,0
2895,Insulin glulisine,['Avoid alcohol. Alcohol may impair blood glucose control.'],713,'Avoid alcohol. Alcohol may impair blood glucose control.',Alcohol may impair blood glucose control,0
2897,Fosamprenavir,"['Avoid alcohol. Drug impairs alcohol metabolism.', 'Avoid fatty foods.', 'Take with or without food.']",714,"'Avoid alcohol. Drug impairs alcohol metabolism.', 'Avoid fatty foods.', 'Take with or without food.'",'Avoid alcohol,0
2898,Fosamprenavir,"['Avoid alcohol. Drug impairs alcohol metabolism.', 'Avoid fatty foods.', 'Take with or without food.']",714,"'Avoid alcohol. Drug impairs alcohol metabolism.', 'Avoid fatty foods.', 'Take with or without food.'",Drug impairs alcohol metabolism,0
2899,Fosamprenavir,"['Avoid alcohol. Drug impairs alcohol metabolism.', 'Avoid fatty foods.', 'Take with or without food.']",714,"'Avoid alcohol. Drug impairs alcohol metabolism.', 'Avoid fatty foods.', 'Take with or without food.'","', 'Avoid fatty foods",0
2900,Fosamprenavir,"['Avoid alcohol. Drug impairs alcohol metabolism.', 'Avoid fatty foods.', 'Take with or without food.']",714,"'Avoid alcohol. Drug impairs alcohol metabolism.', 'Avoid fatty foods.', 'Take with or without food.'","', 'Take with or without food",0
2902,Fosphenytoin,"['Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.', ""Avoid St. John's Wort. This herb may reduce the serum concentration of phenytoin.""]",715,"'Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.', ""Avoid St John's Wort. This herb may reduce the serum concentration of phenytoin.""",'Avoid alcohol,0
2903,Fosphenytoin,"['Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.', ""Avoid St. John's Wort. This herb may reduce the serum concentration of phenytoin.""]",715,"'Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.', ""Avoid St John's Wort. This herb may reduce the serum concentration of phenytoin.""","Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration",0
2904,Fosphenytoin,"['Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.', ""Avoid St. John's Wort. This herb may reduce the serum concentration of phenytoin.""]",715,"'Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.', ""Avoid St John's Wort. This herb may reduce the serum concentration of phenytoin.""","', ""Avoid St John's Wort",0
2905,Fosphenytoin,"['Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.', ""Avoid St. John's Wort. This herb may reduce the serum concentration of phenytoin.""]",715,"'Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.', ""Avoid St John's Wort. This herb may reduce the serum concentration of phenytoin.""",This herb may reduce the serum concentration of phenytoin,0
2907,Polythiazide,['Avoid alcohol. Alcohol may potentiate orthostatic hypotension.'],716,'Avoid alcohol. Alcohol may potentiate orthostatic hypotension.','Avoid alcohol,0
2908,Polythiazide,['Avoid alcohol. Alcohol may potentiate orthostatic hypotension.'],716,'Avoid alcohol. Alcohol may potentiate orthostatic hypotension.',Alcohol may potentiate orthostatic hypotension,0
2910,Quinethazone,['Take with food. Food increases bioavailability.'],717,'Take with food. Food increases bioavailability.','Take with food,0
2911,Quinethazone,['Take with food. Food increases bioavailability.'],717,'Take with food. Food increases bioavailability.',Food increases bioavailability,0
2913,Cefamandole,['Avoid alcohol. Ingesting alcohol with cefamandole may precipitate a disulfiram like reaction due to elevated levels of acetaldehyde in the blood.'],718,'Avoid alcohol. Ingesting alcohol with cefamandole may precipitate a disulfiram like reaction due to elevated levels of acetaldehyde in the blood.','Avoid alcohol,0
2914,Cefamandole,['Avoid alcohol. Ingesting alcohol with cefamandole may precipitate a disulfiram like reaction due to elevated levels of acetaldehyde in the blood.'],718,'Avoid alcohol. Ingesting alcohol with cefamandole may precipitate a disulfiram like reaction due to elevated levels of acetaldehyde in the blood.',Ingesting alcohol with cefamandole may precipitate a disulfiram like reaction due to elevated levels of acetaldehyde in the blood,0
2916,Cefoperazone,"['Avoid alcohol. Ingesting alcohol with cefoperazone may precipitate a disulfuram like reaction including symptoms such as flushing, tachycardia, sweating, and headache.']",719,"'Avoid alcohol. Ingesting alcohol with cefoperazone may precipitate a disulfuram like reaction including symptoms such as flushing, tachycardia, sweating, and headache.'",'Avoid alcohol,0
2917,Cefoperazone,"['Avoid alcohol. Ingesting alcohol with cefoperazone may precipitate a disulfuram like reaction including symptoms such as flushing, tachycardia, sweating, and headache.']",719,"'Avoid alcohol. Ingesting alcohol with cefoperazone may precipitate a disulfuram like reaction including symptoms such as flushing, tachycardia, sweating, and headache.'","Ingesting alcohol with cefoperazone may precipitate a disulfuram like reaction including symptoms such as flushing, tachycardia, sweating, and headache",0
2919,Cefotetan,['Avoid alcohol. Alcohol can cause a disulfiram effect.'],720,'Avoid alcohol. Alcohol can cause a disulfiram effect.','Avoid alcohol,0
2920,Cefotetan,['Avoid alcohol. Alcohol can cause a disulfiram effect.'],720,'Avoid alcohol. Alcohol can cause a disulfiram effect.',Alcohol can cause a disulfiram effect,0
2922,Cefradine,['Take with or without food.'],721,'Take with or without food.','Take with or without food,0
2924,Cilazapril,"['Take with or without food. Food decreases absorption, but not to a clinically significant extent.']",722,"'Take with or without food. Food decreases absorption, but not to a clinically significant extent.'",'Take with or without food,0
2925,Cilazapril,"['Take with or without food. Food decreases absorption, but not to a clinically significant extent.']",722,"'Take with or without food. Food decreases absorption, but not to a clinically significant extent.'","Food decreases absorption, but not to a clinically significant extent",0
2927,Tolevamer,"['Avoid multivalent ions.', 'Take on an empty stomach.']",723,"'Avoid multivalent ions.', 'Take on an empty stomach.'",'Avoid multivalent ions,0
2928,Tolevamer,"['Avoid multivalent ions.', 'Take on an empty stomach.']",723,"'Avoid multivalent ions.', 'Take on an empty stomach.'","', 'Take on an empty stomach",0
2930,Spirapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.']",724,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.'",'Avoid hypertensive herbs (e,0
2932,Spirapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.']",724,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.'","bayberry, blue cohosh, cayenne, ephedra, and licorice)",0
2933,Spirapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.']",724,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.'","', 'Avoid potassium-containing products",0
2934,Spirapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.']",724,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.'",Potassium products increase the risk of hyperkalemia,0
2935,Spirapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.']",724,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.'","', 'Limit salt intake",0
2936,Spirapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.']",724,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.'",Salt may attenuate the antihypertensive effect,0
2938,Amobarbital,"['Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.', 'Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.']",725,"'Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.', 'Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.'",'Avoid alcohol,0
2939,Amobarbital,"['Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.', 'Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.']",725,"'Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.', 'Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.'",Ingesting alcohol may increase the CNS depressant effects of amobarbital,0
2940,Amobarbital,"['Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.', 'Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.']",725,"'Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.', 'Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.'","', 'Take on an empty stomach",0
2941,Amobarbital,"['Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.', 'Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.']",725,"'Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.', 'Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.'",Taking oral amobarbital sodium on an empty stomach increases the rate of absorption,0
2943,Procaterol,"['Take with or without food. The onset of action of procaterol may be delayed when taken with food, however, there is no impact on the efficacy or duration of action of procaterol.']",726,"'Take with or without food. The onset of action of procaterol may be delayed when taken with food, however, there is no impact on the efficacy or duration of action of procaterol.'",'Take with or without food,0
2944,Procaterol,"['Take with or without food. The onset of action of procaterol may be delayed when taken with food, however, there is no impact on the efficacy or duration of action of procaterol.']",726,"'Take with or without food. The onset of action of procaterol may be delayed when taken with food, however, there is no impact on the efficacy or duration of action of procaterol.'","The onset of action of procaterol may be delayed when taken with food, however, there is no impact on the efficacy or duration of action of procaterol",0
2946,Rasagiline,"[""Avoid St. John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.']",727,"""Avoid St John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.'","""Avoid St John's Wort",0
2947,Rasagiline,"[""Avoid St. John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.']",727,"""Avoid St John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.'",Co-administration of rasagiline with this herb is contraindicated,0
2948,Rasagiline,"[""Avoid St. John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.']",727,"""Avoid St John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.'",""", 'Avoid tyramine-containing foods and supplements",0
2949,Rasagiline,"[""Avoid St. John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.']",727,"""Avoid St John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.'",Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction,0
2950,Rasagiline,"[""Avoid St. John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.']",727,"""Avoid St John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.'","Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages",0
2951,Rasagiline,"[""Avoid St. John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.']",727,"""Avoid St John's Wort. Co-administration of rasagiline with this herb is contraindicated."", 'Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.', 'Take with or without food.'","', 'Take with or without food",0
2953,Magnesium oxide,"['Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.']",728,"'Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.'",'Take with food,0
2954,Magnesium oxide,"['Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.']",728,"'Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.'","When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food",0
2955,Magnesium oxide,"['Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.']",728,"'Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.'","', 'Take with or without food",0
2956,Magnesium oxide,"['Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.']",728,"'Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.'",Many different products contain magnesium oxide; refer to the product monograph for more specific instruction,0
2957,Magnesium oxide,"['Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.']",728,"'Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.', 'Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.'",Taking magnesium supplements with food may reduce the risk of diarrhea,0
2959,Cortisone acetate,['Take with food. Taking cortisone acetate with food may reduce gastrointestinal upset.'],729,'Take with food. Taking cortisone acetate with food may reduce gastrointestinal upset.','Take with food,0
2960,Cortisone acetate,['Take with food. Taking cortisone acetate with food may reduce gastrointestinal upset.'],729,'Take with food. Taking cortisone acetate with food may reduce gastrointestinal upset.',Taking cortisone acetate with food may reduce gastrointestinal upset,0
2962,Ginkgo biloba,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food. Food insignificantly decreases the rate of absorption.']",730,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food. Food insignificantly decreases the rate of absorption.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
2963,Ginkgo biloba,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food. Food insignificantly decreases the rate of absorption.']",730,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food. Food insignificantly decreases the rate of absorption.'",Additive anticoagulant/antiplatelet activity may increase the risk of bleeding,0
2964,Ginkgo biloba,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food. Food insignificantly decreases the rate of absorption.']",730,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food. Food insignificantly decreases the rate of absorption.'","', 'Take with or without food",0
2965,Ginkgo biloba,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food. Food insignificantly decreases the rate of absorption.']",730,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food. Food insignificantly decreases the rate of absorption.'",Food insignificantly decreases the rate of absorption,0
2967,Sodium bicarbonate,['Take with or without food. Many different products contain sodium bicarbonate; refer to the product monograph for more specific instruction.'],731,'Take with or without food. Many different products contain sodium bicarbonate; refer to the product monograph for more specific instruction.','Take with or without food,0
2968,Sodium bicarbonate,['Take with or without food. Many different products contain sodium bicarbonate; refer to the product monograph for more specific instruction.'],731,'Take with or without food. Many different products contain sodium bicarbonate; refer to the product monograph for more specific instruction.',Many different products contain sodium bicarbonate; refer to the product monograph for more specific instruction,0
2970,Yohimbine,['Take with or without food.'],732,'Take with or without food.','Take with or without food,0
2972,Bezafibrate,"['Take with a full glass of water.', 'Take with food. Taking bezafibrate with food or after meals slows the absorption of bezafibrate.']",733,"'Take with a full glass of water.', 'Take with food. Taking bezafibrate with food or after meals slows the absorption of bezafibrate.'",'Take with a full glass of water,0
2973,Bezafibrate,"['Take with a full glass of water.', 'Take with food. Taking bezafibrate with food or after meals slows the absorption of bezafibrate.']",733,"'Take with a full glass of water.', 'Take with food. Taking bezafibrate with food or after meals slows the absorption of bezafibrate.'","', 'Take with food",0
2974,Bezafibrate,"['Take with a full glass of water.', 'Take with food. Taking bezafibrate with food or after meals slows the absorption of bezafibrate.']",733,"'Take with a full glass of water.', 'Take with food. Taking bezafibrate with food or after meals slows the absorption of bezafibrate.'",Taking bezafibrate with food or after meals slows the absorption of bezafibrate,0
2976,Colchicine,['Take with or without food. The absorption is unaffected by food.'],734,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
2977,Colchicine,['Take with or without food. The absorption is unaffected by food.'],734,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
2979,Drospirenone,"[""Avoid St. John's Wort."", 'Take at the same time every day.', 'Take with or without food.']",735,"""Avoid St John's Wort."", 'Take at the same time every day.', 'Take with or without food.'","""Avoid St John's Wort",0
